,taker_ratio,funding
2025-10-27,0.4698787484698868,
2025-10-28,0.47078601907969,
2025-10-29,0.49603055715281175,
2025-10-30,0.46911227292819613,
2025-10-31,0.4911691342908508,
2025-11-01,0.5059391485172039,
2025-11-02,0.47684188395967264,
2025-11-03,0.47626856357629077,
2025-11-04,0.4909198548005221,
2025-11-05,0.5070893476415503,
2025-11-06,0.4892745282480779,
2025-11-07,0.500294105955616,
2025-11-08,0.4874727393839322,
2025-11-09,0.4917067371789318,
2025-11-10,0.4878689535149593,
2025-11-11,0.49085728333687323,
2025-11-12,0.48877033677313797,
2025-11-13,0.4796453157564589,
2025-11-14,0.4854010948416424,
2025-11-15,0.5177521347487322,
2025-11-16,0.49362834199363553,
2025-11-17,0.48335479723717617,
2025-11-18,0.5122188856344997,
2025-11-19,0.5034261942895317,
2025-11-20,0.4918619922551687,
2025-11-21,0.48581415964212843,
2025-11-22,0.5021814344694501,
2025-11-23,0.49458403864649714,
2025-11-24,0.5241855213272597,
2025-11-25,0.5039832858977291,
2025-11-26,0.5030185027895564,
2025-11-27,0.4710760533914886,
2025-11-28,0.4761649963465414,
2025-11-29,0.48049837878140933,
2025-11-30,0.48048188083346194,
2025-12-01,0.48227968343153566,
2025-12-02,0.5115954655591242,
2025-12-03,0.5128941359194745,
2025-12-04,0.4707676461895455,
2025-12-05,0.4761919376763945,
2025-12-06,0.4996468218755779,
2025-12-07,0.4994483949112548,
2025-12-08,0.5091855770488908,
2025-12-09,0.5142957324495646,
2025-12-10,0.48276828042141773,
2025-12-11,0.45987196414942483,
2025-12-12,0.5014660299807085,
2025-12-13,0.5303196726309909,
2025-12-14,0.45501752605337953,
2025-12-15,0.4882457427329175,
2025-12-16,0.47811753108626615,
2025-12-17,0.4975593977001901,
2025-12-18,0.4992767515283522,
2025-12-19,0.5114494457286836,
2025-12-20,0.48865632284928734,
2025-12-21,0.5001063392548424,
2025-12-22,0.5068595287970609,
2025-12-23,0.4941885592469,
2025-12-24,0.4976954930147184,
2025-12-25,0.49523087203076105,
2025-12-26,0.5080454357559231,
2025-12-27,0.5041228976698916,
2025-12-28,0.4660157352041987,
2025-12-29,0.48141124296534693,
2025-12-30,0.5169117906713738,
2025-12-31,0.48755379254376724,
2026-01-01,0.5191119609846917,
2026-01-02,0.5056524106413215,
2026-01-03,0.5050715222989958,
2026-01-04,0.48586701456195963,
2026-01-05,0.48310668602136303,
2026-01-06,0.485207591567341,
2026-01-07,0.4543565207089776,
2026-01-08,0.493226908609763,
2026-01-09,0.501105048679986,
2026-01-10,0.49775606883385864,
2026-01-11,0.49614141238538895,
2026-01-12,0.484572965088242,
2026-01-13,0.519133659721678,
2026-01-14,0.5031867311917009,
2026-01-15,0.4639047019971694,
2026-01-16,0.46290297589175977,
2026-01-17,0.5109874456682182,
2026-01-18,0.4616224057917789,
2026-01-19,0.5037883792652155,
2026-01-20,0.4800059335084156,
2026-01-21,0.4960421572167852,
2026-01-22,0.4916834420123879,
2026-01-23,0.46831180205086387,
2026-01-24,0.4781323207986559,
2026-01-25,0.4745187620881119,
2026-01-26,0.4894820841619787,
2026-01-27,0.5116140955743154,
2026-01-28,0.4828048480687879,
